item_id,order_id,product_id,sku,product_name,category,quantity,unit_price,line_total,cost_per_unit,line_cost
1,1,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
2,1,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
3,2,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
4,2,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
5,3,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
6,4,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
7,4,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
8,5,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
9,5,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
10,5,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
11,5,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
12,6,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
13,6,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
14,7,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
15,8,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
16,8,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
17,9,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
18,9,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
19,10,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
20,10,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
21,11,4,PROD004,Long Black,Coffee,1,4.0,4.0,1.1,1.1
22,11,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
23,12,17,PROD017,Avocado Toast,Food,1,12.0,12.0,5.5,5.5
24,12,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
25,13,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
26,13,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
27,13,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
28,13,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
29,14,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
30,14,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
31,14,14,PROD014,Muffin Blueberry,Pastries,1,5.0,5.0,1.7,1.7
32,15,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
33,16,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
34,16,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
35,17,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
36,17,18,PROD018,Bacon & Egg Roll,Food,1,10.0,10.0,4.5,4.5
37,18,7,PROD007,Iced Latte,Coffee,1,5.5,5.5,1.6,1.6
38,18,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
39,18,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
40,19,24,PROD024,BLT Sandwich,Food,1,10.5,10.5,4.8,4.8
41,20,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
42,20,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
43,20,21,PROD021,Caesar Salad,Food,2,14.0,28.0,6.5,13.0
44,21,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
45,21,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
46,22,17,PROD017,Avocado Toast,Food,2,12.0,24.0,5.5,11.0
47,22,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
48,23,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
49,23,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
50,23,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
51,24,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
52,24,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
53,25,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
54,25,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
55,26,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
56,26,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
57,26,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
58,27,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
59,28,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
60,29,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
61,30,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
62,30,11,PROD011,Croissant,Pastries,1,4.5,4.5,1.5,1.5
63,30,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
64,31,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
65,31,6,PROD006,Mocha,Coffee,1,5.0,5.0,1.5,1.5
66,32,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
67,32,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
68,32,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
69,33,15,PROD015,Muffin Choc Chip,Pastries,1,5.0,5.0,1.6,1.6
70,33,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
71,34,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
72,34,22,PROD022,Greek Salad,Food,1,12.5,12.5,5.8,5.8
73,35,19,PROD019,Ham & Cheese Toastie,Food,1,8.5,8.5,3.8,3.8
74,35,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
75,35,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
76,36,13,PROD013,Pain au Chocolat,Pastries,1,5.0,5.0,1.8,1.8
77,36,16,PROD016,Banana Bread,Food,1,5.5,5.5,2.0,2.0
78,37,10,PROD010,Chai Latte,Hot Drinks,1,4.5,4.5,1.2,1.2
79,37,23,PROD023,Chicken Sandwich,Food,1,11.5,11.5,5.2,5.2
80,38,9,PROD009,Hot Chocolate,Hot Drinks,1,4.5,4.5,1.3,1.3
81,38,1,PROD001,Flat White,Coffee,1,4.5,4.5,1.2,1.2
82,39,2,PROD002,Cappuccino,Coffee,1,4.5,4.5,1.25,1.25
83,39,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
84,40,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
85,40,8,PROD008,Iced Coffee,Coffee,1,5.0,5.0,1.4,1.4
86,40,20,PROD020,Vegetarian Wrap,Food,1,9.5,9.5,4.2,4.2
87,41,25,PROD025,Orange Juice,Beverages,1,5.0,5.0,1.5,1.5
88,42,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
89,42,21,PROD021,Caesar Salad,Food,1,14.0,14.0,6.5,6.5
90,43,15,PROD015,Muffin Choc Chip,Pastries,2,5.0,10.0,1.6,3.2
91,44,5,PROD005,Espresso,Coffee,1,3.5,3.5,0.9,0.9
92,44,3,PROD003,Latte,Coffee,1,4.5,4.5,1.3,1.3
