order_id,receipt_number,order_datetime,order_date,order_time,day_of_week,staff_member,payment_method,order_type,status,total_amount,total_cost,gross_profit
1,R000001,2024-09-29 08:14:00,2024-09-29,08:14:00,Sunday,Tom,Cash,Takeaway,Completed,10.0,3.3,6.7
2,R000002,2024-09-29 08:59:00,2024-09-29,08:59:00,Sunday,Lisa,Cash,Dine In,Completed,9.0,2.6,6.4
3,R000003,2024-09-29 09:08:00,2024-09-29,09:08:00,Sunday,Emma,Card,Dine In,Completed,5.0,1.8,3.2
4,R000004,2024-09-29 11:25:00,2024-09-29,11:25:00,Sunday,Lisa,Card,Takeaway,Completed,9.5,2.9000000000000004,6.6
5,R000005,2024-09-29 12:08:00,2024-09-29,12:08:00,Sunday,Lisa,Card,Dine In,Completed,34.0,14.3,19.7
6,R000006,2024-09-29 14:48:00,2024-09-29,14:48:00,Sunday,Mike,Card,Dine In,Completed,19.5,8.5,11.0
7,R000007,2024-09-29 15:59:00,2024-09-29,15:59:00,Sunday,Emma,Card,Dine In,Completed,3.5,0.9,2.6
8,R000008,2024-09-30 07:13:00,2024-09-30,07:13:00,Monday,Emma,Cash,Dine In,Completed,17.0,7.2,9.8
9,R000009,2024-09-30 08:27:00,2024-09-30,08:27:00,Monday,Emma,Card,Dine In,Completed,16.5,6.6,9.9
10,R000010,2024-09-30 09:27:00,2024-09-30,09:27:00,Monday,Lisa,Mobile,Dine In,Completed,9.5,2.7,6.8
11,R000011,2024-09-30 10:21:00,2024-09-30,10:21:00,Monday,Tom,Card,Takeaway,Completed,18.0,7.6,10.4
12,R000012,2024-09-30 11:26:00,2024-09-30,11:26:00,Monday,Emma,Cash,Dine In,Completed,23.5,10.7,12.8
13,R000013,2024-09-30 11:47:00,2024-09-30,11:47:00,Monday,Lisa,Card,Dine In,Completed,23.5,8.4,15.1
14,R000014,2024-09-30 12:11:00,2024-09-30,12:11:00,Monday,Mike,Card,Takeaway,Completed,14.5,4.5,10.0
15,R000015,2024-09-30 13:25:00,2024-09-30,13:25:00,Monday,Tom,Card,Dine In,Completed,10.5,4.8,5.7
16,R000016,2024-09-30 14:04:00,2024-09-30,14:04:00,Monday,Mike,Card,Dine In,Completed,18.0,7.8,10.2
17,R000017,2024-09-30 14:09:00,2024-09-30,14:09:00,Monday,Tom,Card,Dine In,Completed,14.5,6.0,8.5
18,R000018,2024-09-30 15:22:00,2024-09-30,15:22:00,Monday,Lisa,Mobile,Dine In,Completed,22.0,8.2,13.8
19,R000019,2024-10-01 08:11:00,2024-10-01,08:11:00,Tuesday,Sarah,Cash,Dine In,Completed,10.5,4.8,5.7
20,R000020,2024-10-01 09:42:00,2024-10-01,09:42:00,Tuesday,Tom,Card,Takeaway,Completed,45.5,20.6,24.9
21,R000021,2024-10-01 10:21:00,2024-10-01,10:21:00,Tuesday,Mike,Card,Takeaway,Completed,13.0,5.3,7.7
22,R000022,2024-10-01 10:55:00,2024-10-01,10:55:00,Tuesday,Lisa,Card,Dine In,Completed,29.0,12.6,16.4
23,R000023,2024-10-01 11:08:00,2024-10-01,11:08:00,Tuesday,Tom,Cash,Dine In,Completed,13.5,4.2,9.3
24,R000024,2024-10-01 11:10:00,2024-10-01,11:10:00,Tuesday,Sarah,Card,Dine In,Completed,9.0,2.8,6.2
25,R000025,2024-10-01 11:43:00,2024-10-01,11:43:00,Tuesday,Sarah,Card,Takeaway,Completed,18.5,8.0,10.5
26,R000026,2024-10-01 11:56:00,2024-10-01,11:56:00,Tuesday,Emma,Card,Dine In,Completed,18.5,6.75,11.75
27,R000027,2024-10-01 12:52:00,2024-10-01,12:52:00,Tuesday,Emma,Card,Dine In,Completed,4.5,1.3,3.2
28,R000028,2024-10-01 14:44:00,2024-10-01,14:44:00,Tuesday,Mike,Card,Dine In,Completed,14.0,6.5,7.5
29,R000029,2024-10-01 15:07:00,2024-10-01,15:07:00,Tuesday,Tom,Card,Dine In,Completed,5.0,1.5,3.5
30,R000030,2024-10-01 15:34:00,2024-10-01,15:34:00,Tuesday,Tom,Mobile,Takeaway,Completed,13.5,3.95,9.55
31,R000031,2024-10-02 08:13:00,2024-10-02,08:13:00,Wednesday,Emma,Card,Dine In,Completed,17.5,7.3,10.2
32,R000032,2024-10-02 08:27:00,2024-10-02,08:27:00,Wednesday,Tom,Card,Takeaway,Completed,27.0,11.4,15.6
33,R000033,2024-10-02 09:22:00,2024-10-02,09:22:00,Wednesday,Tom,Card,Dine In,Completed,9.5,2.9000000000000004,6.6
34,R000034,2024-10-02 09:35:00,2024-10-02,09:35:00,Wednesday,Sarah,Card,Takeaway,Completed,17.0,7.0,10.0
35,R000035,2024-10-02 09:36:00,2024-10-02,09:36:00,Wednesday,Emma,Mobile,Dine In,Completed,27.0,11.5,15.5
36,R000036,2024-10-02 10:41:00,2024-10-02,10:41:00,Wednesday,Lisa,Card,Dine In,Completed,10.5,3.8,6.7
37,R000037,2024-10-02 12:09:00,2024-10-02,12:09:00,Wednesday,Emma,Card,Takeaway,Completed,16.0,6.4,9.6
38,R000038,2024-10-02 13:10:00,2024-10-02,13:10:00,Wednesday,Lisa,Card,Takeaway,Completed,9.0,2.5,6.5
39,R000039,2024-10-02 13:14:00,2024-10-02,13:14:00,Wednesday,Sarah,Card,Takeaway,Completed,14.0,5.45,8.55
40,R000040,2024-10-02 13:18:00,2024-10-02,13:18:00,Wednesday,Mike,Cash,Dine In,Completed,19.5,7.1,12.4
41,R000041,2024-10-02 13:25:00,2024-10-02,13:25:00,Wednesday,Tom,Card,Takeaway,Completed,5.0,1.5,3.5
42,R000042,2024-10-02 14:13:00,2024-10-02,14:13:00,Wednesday,Sarah,Card,Dine In,Completed,17.5,7.4,10.1
43,R000043,2024-10-02 14:16:00,2024-10-02,14:16:00,Wednesday,Tom,Card,Takeaway,Completed,10.0,3.2,6.8
44,R000044,2024-10-02 14:19:00,2024-10-02,14:19:00,Wednesday,Mike,Card,Dine In,Completed,8.0,2.2,5.8
45,R000045,2024-10-02 14:36:00,2024-10-02,14:36:00,Wednesday,Mike,Card,Takeaway,Completed,9.0,2.5,6.5
46,R000046,2024-10-03 08:10:00,2024-10-03,08:10:00,Thursday,Sarah,Card,Takeaway,Completed,16.5,6.8,9.7
47,R000047,2024-10-03 08:24:00,2024-10-03,08:24:00,Thursday,Mike,Card,Takeaway,Completed,20.5,8.0,12.5
48,R000048,2024-10-03 09:35:00,2024-10-03,09:35:00,Thursday,Lisa,Card,Dine In,Completed,5.0,1.5,3.5
49,R000049,2024-10-03 09:56:00,2024-10-03,09:56:00,Thursday,Mike,Mobile,Dine In,Completed,28.0,12.4,15.6
50,R000050,2024-10-03 10:17:00,2024-10-03,10:17:00,Thursday,Tom,Card,Takeaway,Completed,19.0,7.0,12.0
51,R000051,2024-10-03 10:53:00,2024-10-03,10:53:00,Thursday,Tom,Card,Dine In,Completed,5.0,1.8,3.2
